organism_name	intraspecific_name	lineage	genome_assembly_id	taxonomy_id	bioproject	biosample	sra_run_id	ngs_read_file_source	ref_org	isolate_identifiers	selection_notes	lab_name	files_processed
Candida parapsilosis		cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	GCA_014049495.1	5480	PRJNA231221	SAMN11056368	SRR8984833	SRA	No		Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Candida parapsilosis		cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	GCA_014049495.1	5480	PRJNA231221	SAMN11056368	SRR8984831	SRA	No		Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Candida parapsilosis		cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	GCA_014049495.1	5480	PRJNA231221	SAMN11056368	SRR8984834	SRA	No		Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Candida parapsilosis		cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	GCA_014049585.1	5480	PRJNA231221	SAMN11056365	SRR8984817	SRA	No		Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Candida parapsilosis		cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	GCA_014049445.1	5480	PRJNA231221	SAMN11056367	SRR8984830	SRA	No		Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Candida parapsilosis		cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	GCA_014049445.1	5480	PRJNA231221	SAMN11056367	SRR8984829	SRA	No		Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Candida parapsilosis		cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	GCA_014049455.1	5480	PRJNA231221	SAMN11056366	SRR8984825	SRA	No		Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Candida parapsilosis		cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	GCA_014049455.1	5480	PRJNA231221	SAMN11056366	SRR8984821	SRA	No		Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Candida parapsilosis		cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	GCA_014049445.1	5480	PRJNA231221	SAMN11056367	SRR8984827	SRA	No		Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Candida parapsilosis		cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	GCA_014049585.1	5480	PRJNA231221	SAMN11056365	SRR8984818	SRA	No		Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Candida parapsilosis		cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	GCA_014049585.1	5480	PRJNA231221	SAMN11056365	SRR8984819	SRA	No		Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Candida parapsilosis		cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	GCA_014049585.1	5480	PRJNA231221	SAMN11056365	SRR8984820	SRA	No		Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Candida parapsilosis		cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	GCA_014049445.1	5480	PRJNA231221	SAMN11056367	SRR8984828	SRA	No		Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridioides difficile		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	GCA_020341515.1	1496	PRJNA231221	SAMN21402692	SRR16249308	SRA	No	PDT001147281.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridioides difficile		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	GCA_002073735.2	1496	PRJNA231221	SAMN04875593	SRR4125181	SRA	No	PDT000198599.2	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridioides difficile		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	GCA_002073735.2	1496	PRJNA231221	SAMN04875593	SRR4125182	SRA	No	PDT000198599.2	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridioides difficile		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	GCA_002073735.2	1496	PRJNA231221	SAMN04875593	SRR4125183	SRA	No	PDT000198599.2	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridioides difficile		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	GCA_002082985.2	1496	PRJNA231221	SAMN04875595	SRR4125187	SRA	No	PDT000202858.2	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridioides difficile		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	GCA_002082985.2	1496	PRJNA231221	SAMN04875595	SRR4125186	SRA	No	PDT000202858.2	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridioides difficile		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	GCA_002082945.2	1496	PRJNA231221	SAMN04875594	SRR4125185	SRA	No	PDT000202857.2	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridioides difficile		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	GCA_002082945.2	1496	PRJNA231221	SAMN04875594	SRR4125184	SRA	No	PDT000202857.2	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridioides difficile		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	GCA_009730495.1	1496	PRJNA231221	SAMN11056438	SRR9172306	SRA	No	PDT000640586.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridioides difficile		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	GCA_016985475.1	1496	PRJNA231221	SAMN16357487	SRR13674414	SRA	No	PDT000974139.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridioides difficile		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	GCA_019931025.1	1496	PRJNA231221	SAMN20888886	SRR16259732	SRA	No	PDT001129064.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridioides difficile		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	GCA_020097215.1	1496	PRJNA231221	SAMN21402695	SRR16249302	SRA	No	PDT001137228.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridioides difficile		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	GCA_020297505.1	1496	PRJNA231221	SAMN21402694	SRR16249300	SRA	No	PDT001147278.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridioides difficile		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	GCA_020297525.1	1496	PRJNA231221	SAMN21402693	SRR16249285	SRA	No	PDT001147279.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium perfringens		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_016026995.1	1502	PRJNA231221	SAMN13450435	SRR12045576	SRA	No	PDT000916339.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium perfringens		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_016027375.1	1502	PRJNA231221	SAMN13450433	SRR12045563	SRA	No	PDT000916341.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium perfringens		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_016027375.1	1502	PRJNA231221	SAMN13450433	SRR12045564	SRA	No	PDT000916341.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium perfringens		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_016117735.1	1502	PRJNA231221	SAMN13450462	SRR12046747	SRA	No	PDT000920805.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium perfringens		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_016117735.1	1502	PRJNA231221	SAMN13450462	SRR12046746	SRA	No	PDT000920805.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium perfringens		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_016026675.1	1502	PRJNA231221	SAMN13450461	SRR12046730	SRA	No	PDT000916338.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium perfringens		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_016026675.1	1502	PRJNA231221	SAMN13450461	SRR12046731	SRA	No	PDT000916338.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium perfringens		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_016026995.1	1502	PRJNA231221	SAMN13450435	SRR12045575	SRA	No	PDT000916339.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium perfringens		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_016027155.1	1502	PRJNA231221	SAMN13450434	SRR12045573	SRA	No	PDT000916340.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium perfringens		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_016027155.1	1502	PRJNA231221	SAMN13450434	SRR12045574	SRA	No	PDT000916340.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium septicum		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_020736665.1	1504	PRJNA231221	SAMN22091648	SRR17117157	SRA	No		Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium sporogenes		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_020341555.1	1509	PRJNA231221	SAMN21402698	SRR16249305	SRA	No	PDT001147309.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium sporogenes		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_020450145.1	1509	PRJNA231221	SAMN21402699	SRR16249311	SRA	No	PDT001150679.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium sporogenes		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_019933215.1	1509	PRJNA231221	SAMN20888887	SRR16259737	SRA	No	PDT001132811.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium sporogenes		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_002588205.1	1509	PRJNA231221	SAMN07312467	SRR5879392	SRA	No	PDT000256269.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium sporogenes		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_002588205.1	1509	PRJNA231221	SAMN07312467	SRR5879394	SRA	No	PDT000256269.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium sporogenes		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_019933215.1	1509	PRJNA231221	SAMN20888888	SRR16259837	SRA	No	PDT001132810.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Clostridium sporogenes		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	GCA_020099295.1	1509	PRJNA231221	SAMN21218847	SRR16249309	SRA	No	PDT001137237.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Escherichia coli		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli O104:H4	GCA_002209105.2	562	PRJNA231221	SAMN06173361	SRR5427931	SRA	No	PDT000221677.2	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Escherichia coli		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli O104:H4	GCA_002209105.2	562	PRJNA231221	SAMN06173361	SRR5427930	SRA	No	PDT000221677.2	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Escherichia coli		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli O104:H4	GCA_002983645.1	562	PRJNA231221	SAMN06173362	SRR5440732	SRA	No	PDT000294375.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Escherichia coli		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli O104:H4	GCA_002983645.1	562	PRJNA231221	SAMN06173362	SRR5440733	SRA	No	PDT000294375.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Escherichia coli		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli	GCA_002944935.1	562	PRJNA231221	SAMN03996288	SRR2820659	SRA	No	PDT000289948.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Escherichia coli		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli	GCA_002208865.2	562	PRJNA231221	SAMN06173306	SRR5413253	SRA	No	PDT000221676.2	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Escherichia coli		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli	GCA_002944935.1	562	PRJNA231221	SAMN03996288	SRR2820660	SRA	No	PDT000289948.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Escherichia coli		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli	GCA_002589795.1	562	PRJNA231221	SAMN07312477	SRR5884781	SRA	No	PDT000253680.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Escherichia coli		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli	GCA_002589795.1	562	PRJNA231221	SAMN07312477	SRR5884782	SRA	No	PDT000253680.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Escherichia coli		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli	GCA_002944935.1	562	PRJNA231221	SAMN03996288	SRR2820658	SRA	No	PDT000289948.1	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Escherichia coli		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli	GCA_002208865.2	562	PRJNA231221	SAMN06173306	SRR5413252	SRA	No	PDT000221676.2	Belongs to FDA-ARGOS PRJNA231221.	HIVE Lab	ngsQC_HIVE
Human immunodeficiency virus 1		Viruses; Riboviria; Pararnavirae; Artverviricota; Revtraviricetes; Ortervirales; Retroviridae; Orthoretrovirinae; Lentivirus		11676	PRJNA550394	SAMN12126378	SRR9588832	SRA	No		Selected from BioProject PRJNA550394.	HIVE Lab	ngsQC_HIVE
Human immunodeficiency virus 1		Viruses; Riboviria; Pararnavirae; Artverviricota; Revtraviricetes; Ortervirales; Retroviridae; Orthoretrovirinae; Lentivirus		11676	PRJNA550394	SAMN12126377	SRR9588831	SRA	No		Selected from BioProject PRJNA550394.	HIVE Lab	ngsQC_HIVE
Human immunodeficiency virus 1		Viruses; Riboviria; Pararnavirae; Artverviricota; Revtraviricetes; Ortervirales; Retroviridae; Orthoretrovirinae; Lentivirus		11676	PRJNA550394	SAMN12126376	SRR9588830	SRA	No		Selected from BioProject PRJNA550394.	HIVE Lab	ngsQC_HIVE
Human immunodeficiency virus 1		Viruses; Riboviria; Pararnavirae; Artverviricota; Revtraviricetes; Ortervirales; Retroviridae; Orthoretrovirinae; Lentivirus		11676	PRJNA550394	SAMN12126374	SRR9588828	SRA	No		Selected from BioProject PRJNA550394.	HIVE Lab	ngsQC_HIVE
Human immunodeficiency virus 1		Viruses; Riboviria; Pararnavirae; Artverviricota; Revtraviricetes; Ortervirales; Retroviridae; Orthoretrovirinae; Lentivirus		11676	PRJNA550394	SAMN12126375	SRR9588829	SRA	No		Selected from BioProject PRJNA550394.	HIVE Lab	ngsQC_HIVE
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus (A/Puerto Rico/8/1934(H1N1))	EPI_ISL_16868578	211044	PRJNA917703	SAMN32803985	SRR23143772	SRA	No		Circulating flu strain from 2022-2023 flu season	HIVE Lab	ngsQC_HIVE
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus (A/Puerto Rico/8/1934(H1N1))	EPI_ISL_16868575	211044	PRJNA917703	SAMN32803980	SRR23143777	SRA	No		Circulating flu strain from 2022-2023 flu season	HIVE Lab	ngsQC_HIVE
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus (A/Puerto Rico/8/1934(H1N1))	EPI_ISL_16886785	211044	PRJNA917703	SAMN32803982	SRR23143775	SRA	No		Circulating flu strain from 2022-2023 flu season	HIVE Lab	ngsQC_HIVE
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus (A/Puerto Rico/8/1934(H1N1))	EPI_ISL_16868564	211044	PRJNA917703	SAMN32803983	SRR23143774	SRA	No		Circulating flu strain from 2022-2023 flu season	HIVE Lab	ngsQC_HIVE
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus (A/Puerto Rico/8/1934(H1N1))	EPI_ISL_16868577	211044	PRJNA917703	SAMN32803984	SRR23143773	SRA	No		Circulating flu strain from 2022-2023 flu season	HIVE Lab	ngsQC_HIVE
