organism_name	infraspecific_name	lineage	genome_assembly_id	taxonomy_id	bco_id	schema_version	analysis_platform	analysis_platform_object_id	strain	bioproject	biosample	sra_run_id	ngs_read_file_name	ngs_read_file_source	ngs_gc_content	avg_phred_score	min_read_length	num_reads_unique	pos_outlier_count	avg_read_length	max_read_length	strategy	wgs_accession	instrument	id_method	codon_table	percent_coding	percent_not_coding	density_n_per_read	complexity_percent	non_complex_percent	avg_quality_a	avg_quality_t	avg_quality_g	avg_quality_c	count_a	count_c	count_g	count_t
Yersinia enterocolitica		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia enterocolitica	GCA_002083285.2	630	ARGOS_000019	v1.4	HIVE2	53491	FDAARGOS_225	PRJNA231221	SAMN04875562	SRR4273026	SRR4273026_13.fastq	SRA	46.94	9.4158	1		1340	1897.4265	17993	WGS	NBTE00000000	PacBio RS	Phenotypic Identification	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.15|0.12|0.2|0.2|0.2|0.24|0.2|0.2|0.15|0.15|0.2|0.31|0.17|0.2|0.12|0.15|0.2|0.2|0.15	0.85|0.88|0.8|0.8|0.8|0.76|0.8|0.8|0.85|0.85|0.8|0.69|0.83|0.8|0.88|0.85|0.8|0.8|0.85	0|1|2|3|4|5|13|14|15|18|21|46	92.6	7.4	9.018	9.394	9.622	9.699	70559	59239	61887	66365
Yersinia enterocolitica		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia enterocolitica	GCA_002083285.2	630	ARGOS_000019	v1.4	HIVE2	53491	FDAARGOS_225	PRJNA231221	SAMN04875562	SRR4273026	SRR4273026_15.fastq	SRA	46.27	9.3011	4		215	1853.3333	7769	WGS	NBTE00000000	PacBio RS	Phenotypic Identification	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.17|0.13|0.18|0.18|0.18|0.23|0.18|0.18|0.17|0.17|0.18|0.26|0.18|0.18|0.14|0.17|0.18|0.18|0.17	0.83|0.87|0.82|0.82|0.82|0.77|0.82|0.82|0.83|0.83|0.82|0.74|0.82|0.82|0.86|0.83|0.82|0.82|0.83	0|1|2|3|6|12|15|20|25|27	88.5	11.5	8.964	9.252	9.476	9.6	46105	36353	38247	40535
Yersinia enterocolitica		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia enterocolitica	GCA_002083285.2	630	ARGOS_000019	v1.4	HIVE2	53491	FDAARGOS_225	PRJNA231221	SAMN04875562	SRR4273026	SRR4273026_11.fastq	SRA	46.47	9.8855	3		727	2731.6212	17940	WGS	NBTE00000000	PacBio RS	Phenotypic Identification	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.07|0.05|0.09|0.09|0.09|0.12|0.09|0.09|0.07|0.07|0.09|0.19|0.08|0.09|0.06|0.07|0.09|0.09|0.07	0.93|0.95|0.91|0.91|0.91|0.88|0.91|0.91|0.93|0.93|0.91|0.81|0.92|0.91|0.94|0.93|0.91|0.91|0.93	0|1|2|3|4|5|6|8|9|28|31|42|46	97	3	9.528	9.785	10.111	10.198	300654	253327	249364	278377
Yersinia enterocolitica		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia enterocolitica	GCA_002083285.2	630	ARGOS_000019	v1.4	HIVE2	53491	FDAARGOS_225	PRJNA231221	SAMN04875562	SRR4273026	SRR4273026_9.fastq	SRA	46.78	9.8406	7		392	3735.3892	18464	WGS	NBTE00000000	PacBio RS	Phenotypic Identification	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.04|0.03|0.05|0.05|0.05|0.07|0.05|0.05|0.04|0.04|0.05|0.12|0.04|0.05|0.04|0.04|0.05|0.05|0.04	0.96|0.97|0.95|0.95|0.95|0.93|0.95|0.95|0.96|0.96|0.95|0.88|0.96|0.95|0.96|0.96|0.95|0.95|0.96	0|1|2|3|4|5|7|8|9|10|12|22|28|32	98.6	1.4	9.51	9.789	10.005	10.122	1161203	982751	997065	1091177
Yersinia enterocolitica		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia enterocolitica	GCA_002083285.2	630	ARGOS_000019	v1.4	HIVE2	53491	FDAARGOS_225	PRJNA231221	SAMN04875562	SRR4273026	SRR4273026_7.fastq	SRA	46.88	9.9818	2		5	4892.4536	26335	WGS	NBTE00000000	PacBio RS	Phenotypic Identification	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.02|0.02|0.03|0.03|0.03|0.05|0.03|0.03|0.02|0.02|0.03|0.09|0.03|0.03|0.02|0.02|0.03|0.03|0.02	0.98|0.98|0.97|0.97|0.97|0.95|0.97|0.97|0.98|0.98|0.97|0.91|0.97|0.97|0.98|0.98|0.97|0.97|0.98	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|20|23|24|30|50	99.7	0.3	9.664	9.872	10.159	10.297	3499821	2984445	3001859	3283179
Yersinia enterocolitica		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia enterocolitica	GCA_002083285.2	630	ARGOS_000019	v1.4	HIVE2	53491	FDAARGOS_225	PRJNA231221	SAMN04875562	SRR4273026	SRR4273026_5.fastq	SRA	46.94	9.6836	1		0	6332.3464	32768	WGS	NBTE00000000	PacBio RS	Phenotypic Identification	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.01|0.01|0.02|0.02|0.02|0.03|0.02|0.02|0.01|0.01|0.02|0.06|0.02|0.02|0.01|0.01|0.02|0.02|0.01	0.99|0.99|0.98|0.98|0.98|0.97|0.98|0.98|0.99|0.99|0.98|0.94|0.98|0.98|0.99|0.99|0.98|0.98|0.99	0|1|2|3|4|5|6|7|8|9|10|11|13|14|15|16|17|18|20|21|22|23|25|26|28|29|30|32|40|41|46|61|66	99.4	0.6	9.383	9.608	9.843	9.959	10247347	8725817	8802748	9569329
Yersinia enterocolitica		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia enterocolitica	GCA_002083285.2	630	ARGOS_000019	v1.4	HIVE2	53491	FDAARGOS_225	PRJNA231221	SAMN04875562	SRR4273026	SRR4273026_3.fastq	SRA	46.87	9.5529	1		0	6617.9193	32768	WGS	NBTE00000000	PacBio RS	Phenotypic Identification	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.02|0.01|0.03|0.03|0.03|0.04|0.03|0.03|0.02|0.02|0.03|0.07|0.02|0.03|0.01|0.02|0.03|0.03|0.02	0.98|0.99|0.97|0.97|0.97|0.96|0.97|0.97|0.98|0.98|0.97|0.93|0.98|0.97|0.99|0.98|0.97|0.97|0.98	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|57|58|59|60|61|62|65|66|69|70|71|72|75|76	99.3	0.7	9.248	9.466	9.693	9.864	41132325	34954378	35500049	38716129
Yersinia enterocolitica		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia enterocolitica	GCA_002083285.2	630	ARGOS_000019	v1.4	HIVE2	53491	FDAARGOS_225	PRJNA231221	SAMN04875562	SRR4273026	SRR4273026_1.fastq	SRA	46.78	7.6963	12		5	5980.4289	32768	WGS	NBTE00000000	PacBio RS	Phenotypic Identification	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.08|0.08|0.11|0.11|0.11|0.19|0.11|0.11|0.08|0.08|0.11|0.26|0.09|0.11|0.07|0.08|0.11|0.11|0.08	0.92|0.92|0.89|0.89|0.89|0.81|0.89|0.89|0.92|0.92|0.89|0.74|0.91|0.89|0.93|0.92|0.89|0.89|0.92	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|100	88.7	11.3	7.326	7.722	7.901	7.896	226643622	191570069	191871355	209467895
Yersinia enterocolitica		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia enterocolitica	GCA_002083285.2	630	ARGOS_000019	v1.4	HIVE2	53492	FDAARGOS_225	PRJNA231221	SAMN04875562	SRR4273027	SRR4273027_1.fastq	SRA	46.70	33.5966	2		0	101.0045	101	WGS	NBTE00000000	Illumina HiSeq 2000	Phenotypic Identification	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.9|0.84|0.95|0.95|0.95|1.0|0.95|0.95|0.9|0.9|0.95|1.0|0.94|0.95|0.7|0.9|0.95|0.95|0.9	0.1|0.16|0.05|0.05|0.05|0.0|0.05|0.05|0.1|0.1|0.05|0.0|0.06|0.05|0.3|0.1|0.05|0.05|0.1	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|54|55|56|57|58	98.8	1.2	33.805	33.593	33.181	33.776	88555919	77507188	77040154	87824990
Yersinia enterocolitica		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia enterocolitica	GCA_002083285.2	630	ARGOS_000019	v1.4	HIVE2	53492	FDAARGOS_225	PRJNA231221	SAMN04875562	SRR4273027	SRR4273027_2.fastq	SRA	46.81	33.4939	3		0	101.0298	101	WGS	NBTE00000000	Illumina HiSeq 2000	Phenotypic Identification	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.9|0.84|0.95|0.95|0.95|1.0|0.95|0.95|0.9|0.9|0.95|1.0|0.94|0.95|0.7|0.9|0.95|0.95|0.9	0.1|0.16|0.05|0.05|0.05|0.0|0.05|0.05|0.1|0.1|0.05|0.0|0.06|0.05|0.3|0.1|0.05|0.05|0.1	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|44|45|46|47|49|50|51|52|53|54|55|56|57|59|60|62|64|66|68|69|70|72|73|74|75|76|84|85|86	98.7	1.3	33.775	33.492	33.049	33.622	88621265	77113301	77799790	87401573
Yersinia enterocolitica		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia enterocolitica	GCA_002083285.2	630	ARGOS_000019	v1.4	HIVE2	53493	FDAARGOS_225	PRJNA231221	SAMN04875562	SRR4273028	SRR4273028_1.fastq	SRA	46.85	35.1743	4		0	101.0339	101	WGS	NBTE00000000	Illumina HiSeq 2500	Phenotypic Identification	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.9|0.85|0.96|0.96|0.96|1.0|0.96|0.96|0.9|0.9|0.96|1.0|0.94|0.96|0.7|0.9|0.96|0.96|0.9	0.1|0.15|0.04|0.04|0.04|0.0|0.04|0.04|0.1|0.1|0.04|0.0|0.06|0.04|0.3|0.1|0.04|0.04|0.1	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37	98.8	1.2	35.305	35.045	34.962	35.383	690665137	608250121	605517905	686071449
Yersinia enterocolitica		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia enterocolitica	GCA_002083285.2	630	ARGOS_000019	v1.4	HIVE2	53493	FDAARGOS_225	PRJNA231221	SAMN04875562	SRR4273028	SRR4273028_2.fastq	SRA	46.94	34.4337	4		0	101.1619	101	WGS	NBTE00000000	Illumina HiSeq 2500	Phenotypic Identification	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.9|0.85|0.96|0.96|0.96|1.0|0.96|0.96|0.9|0.9|0.96|1.0|0.95|0.96|0.71|0.9|0.96|0.96|0.9	0.1|0.15|0.04|0.04|0.04|0.0|0.04|0.04|0.1|0.1|0.04|0.0|0.05|0.04|0.29|0.1|0.04|0.04|0.1	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100	98.9	1.1	34.593	34.339	34.182	34.612	689165767	604408793	607454726	680508250
Yersinia frederiksenii		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia frederiksenii	GCA_002591195.1	29484	ARGOS_000019	v1.4	HIVE2	53494	FDAARGOS_418	PRJNA231221	SAMN07312462	SRR5879185	SRR5879185_1.fastq	SRA	46.26	39.6995	3		0	151.5992	151	WGS		Illumina HiSeq 4000	Phenotypic Characterization	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.8|0.7|0.89|0.89|0.89|0.99|0.89|0.89|0.8|0.8|0.89|1.0|0.86|0.89|0.51|0.8|0.89|0.89|0.8	0.2|0.3|0.11|0.11|0.11|0.01|0.11|0.11|0.2|0.2|0.11|0.0|0.14|0.11|0.49|0.2|0.11|0.11|0.2	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|38|39	99	1	39.64	39.593	39.73	39.862	639720275	550490018	547474071	636025441
Yersinia frederiksenii		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia frederiksenii	GCA_002591195.1	29484	ARGOS_000019	v1.4	HIVE2	53494	FDAARGOS_418	PRJNA231221	SAMN07312462	SRR5879185	SRR5879185_2.fastq	SRA	46.28	38.4814	2		0	152.3085	151	WGS		Illumina HiSeq 4000	Phenotypic Characterization	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.8|0.69|0.88|0.88|0.88|0.99|0.88|0.88|0.8|0.8|0.88|1.0|0.86|0.88|0.51|0.8|0.88|0.88|0.8	0.2|0.31|0.12|0.12|0.12|0.01|0.12|0.12|0.2|0.2|0.12|0.0|0.14|0.12|0.49|0.2|0.12|0.12|0.2	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45	98.9	1.1	38.258	38.478	38.478	38.75	638304406	548284196	550037395	636809579
Yersinia frederiksenii		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia frederiksenii	GCA_002591195.1	29484	ARGOS_000019	v1.4	HIVE2	53495	FDAARGOS_418	PRJNA231221	SAMN07312462	SRR5879186	SRR5879186_2.fastq	SRA	44.96	6.0776	2		11144	16132	32687	WGS		PacBio RS	Phenotypic Characterization	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0	1|41	100	0	5.479	6.46	6.276	6.241	15345	9750	12011	11290
Yersinia frederiksenii		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia frederiksenii	GCA_002591195.1	29484	ARGOS_000019	v1.4	HIVE2	53495	FDAARGOS_418	PRJNA231221	SAMN07312462	SRR5879186	SRR5879186_31.fastq	SRA	48.82	9.3407	106		560	692.6667	1553	WGS		PacBio RS	Phenotypic Characterization	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.33|0.0|0.33|0.33|0.33|0.5|0.33|0.33|0.33|0.33|0.33|0.67|0.33|0.33|0.17|0.33|0.33|0.33|0.33	0.67|1.0|0.67|0.67|0.67|0.5|0.67|0.67|0.67|0.67|0.67|0.33|0.67|0.67|0.83|0.67|0.67|0.67|0.67	0|2	100	0	8.803	9.712	9.108	9.639	1022	984	1045	1105
Yersinia frederiksenii		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia frederiksenii	GCA_002591195.1	29484	ARGOS_000019	v1.4	HIVE2	53495	FDAARGOS_418	PRJNA231221	SAMN07312462	SRR5879186	SRR5879186_29.fastq	SRA	44.59	9.7844	1217		1317	2960.7	9184	WGS		PacBio RS	Phenotypic Characterization	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0	0|1	100	0	9.222	10.167	9.994	9.829	8484	6262	6941	7920
