organism_name	lineage	taxonomy_id	bco_id	schema_version	bioproject	biosample	strain	genome_assembly_id	sample_name	instrument	isolate	collected_by	collection_date	geo_loc_name	isolation_source	lat_lon	culture_collection	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	id_method	biosample_score
Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica; Salmonella enterica subsp. enterica serovar Typhimurium	1620419	ARGOS_000020	v1.4	PRJNA231221	SAMN06173325	FDAARGOS_312	GCA_002208965.2	FDAARGOS_312	NA	Not Applicable	FDA CVM	2011	USA:MD	ground turkey	Not Applicable	FDA:FDAARGOS_312	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic identification	NA
Salmonella enterica subsp. enterica serovar Infantis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	595	ARGOS_000020	v1.4	PRJNA231221	SAMN06173328	FDAARGOS_315	GCA_002206245.2	FDAARGOS_315	NA	Not Applicable	FDA CVM	2011	USA:NM	ground turkey	Not Applicable	FDA:FDAARGOS_315	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic identification	NA
Salmonella enterica subsp. enterica serovar Infantis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	595	ARGOS_000020	v1.4	PRJNA231221	SAMN06173328	FDAARGOS_315	GCA_002206245.2	FDAARGOS_315	NA	Not Applicable	FDA CVM	2011	USA:NM	ground turkey	Not Applicable	FDA:FDAARGOS_315	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic identification	NA
Salmonella enterica subsp. enterica serovar Hadar	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	149385	ARGOS_000020	v1.4	PRJNA231221	SAMN06173326	FDAARGOS_313	GCA_002209205.2	FDAARGOS_313	NA	Not Applicable	FDA CVM	2011	USA:MN	ground turkey	Not Applicable	FDA:FDAARGOS_313	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic identification	NA
Salmonella enterica subsp. enterica serovar Hadar	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	149385	ARGOS_000020	v1.4	PRJNA231221	SAMN06173326	FDAARGOS_313	GCA_002209205.2	FDAARGOS_313	NA	Not Applicable	FDA CVM	2011	USA:MN	ground turkey	Not Applicable	FDA:FDAARGOS_313	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic identification	NA
Salmonella enterica subsp. houtenae serovar 50:g,z51:-	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. houtenae	1173947	ARGOS_000020	v1.4	PRJNA231221	SAMN03255435	FDAARGOS_55	GCA_001188155.2	FDAARGOS_55	NA	Not Applicable	FDA CFSAN	Missing	Missing	environmental	Not Applicable	FDA:FDAARGOS_55	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	phenotypic identification	NA
Salmonella enterica subsp. houtenae serovar 50:g,z51:-	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. houtenae	1173947	ARGOS_000020	v1.4	PRJNA231221	SAMN03255435	FDAARGOS_55	GCA_001188155.2	FDAARGOS_55	NA	Not Applicable	FDA CFSAN	Missing	Missing	environmental	Not Applicable	FDA:FDAARGOS_55	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	phenotypic identification	NA
Salmonella enterica subsp. houtenae serovar 50:g,z51:-	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. houtenae	1173947	ARGOS_000020	v1.4	PRJNA231221	SAMN03255435	FDAARGOS_55	GCA_001188155.2	FDAARGOS_55	NA	Not Applicable	FDA CFSAN	Missing	Missing	environmental	Not Applicable	FDA:FDAARGOS_55	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	phenotypic identification	NA
Salmonella enterica subsp. houtenae serovar 50:g,z51:-	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. houtenae	1173947	ARGOS_000020	v1.4	PRJNA231221	SAMN03255435	FDAARGOS_55	GCA_001188155.2	FDAARGOS_55	NA	Not Applicable	FDA CFSAN	Missing	Missing	environmental	Not Applicable	FDA:FDAARGOS_55	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	phenotypic identification	NA
Salmonella enterica subsp. enterica serovar Bredeney	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	134047	ARGOS_000020	v1.4	PRJNA231221	SAMN06173327	FDAARGOS_314	GCA_002206165.2	FDAARGOS_314	NA	Not Applicable	FDA CVM	2011	USA:TN	ground turkey	Not Applicable	FDA:FDAARGOS_314	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic identification	NA
Salmonella enterica subsp. enterica serovar Bredeney	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	134047	ARGOS_000020	v1.4	PRJNA231221	SAMN06173327	FDAARGOS_314	GCA_002206165.2	FDAARGOS_314	NA	Not Applicable	FDA CVM	2011	USA:TN	ground turkey	Not Applicable	FDA:FDAARGOS_314	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic identification	NA
Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica; Salmonella enterica subsp. enterica serovar Typhimurium	1620419	ARGOS_000020	v1.4	PRJNA231221	SAMN06173331	FDAARGOS_318	GCA_002206495.2	FDAARGOS_318	NA	Not Applicable	FDA CVM < CDC	2012	Missing	stool	Not Applicable	FDA:FDAARGOS_318	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic identification	NA
Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica; Salmonella enterica subsp. enterica serovar Typhimurium	1620419	ARGOS_000020	v1.4	PRJNA231221	SAMN06173331	FDAARGOS_318	GCA_002206495.2	FDAARGOS_318	NA	Not Applicable	FDA CVM < CDC	2012	Missing	stool	Not Applicable	FDA:FDAARGOS_318	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic identification	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN10346773	FDAARGOS_609	GCA_006370495.1	FDAARGOS_609	NA	Not applicable	ZYMO RESEARCH, Ames, B. N.	Unknown	USA: Davis, CA	animal	Not applicable	FDA:FDAARGOS_609	ZymoBIOMICS Microbial Community Standard Strain	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN10346773	FDAARGOS_609	GCA_006370495.1	FDAARGOS_609	NA	Not applicable	ZYMO RESEARCH, Ames, B. N.	Unknown	USA: Davis, CA	animal	Not applicable	FDA:FDAARGOS_609	ZymoBIOMICS Microbial Community Standard Strain	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN11056401	FDAARGOS_686	GCA_012273275.1	FDAARGOS_686	NA		University of Ibadan	Unknown	Nigeria: Ibadan	clinical isolate	Not applicable	FDA:FDAARGOS_686	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN11056401	FDAARGOS_686	GCA_012273275.1	FDAARGOS_686	NA		University of Ibadan	Unknown	Nigeria: Ibadan	clinical isolate	Not applicable	FDA:FDAARGOS_686	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN11056424	FDAARGOS_709	GCA_012273475.1	FDAARGOS_709	NA		University of Ibadan	Unknown	Nigeria: Ibadan	clinical isolate	Not applicable	FDA:FDAARGOS_709	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN11056424	FDAARGOS_709	GCA_012273475.1	FDAARGOS_709	NA		University of Ibadan	Unknown	Nigeria: Ibadan	clinical isolate	Not applicable	FDA:FDAARGOS_709	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN11056424	FDAARGOS_709	GCA_012273475.1	FDAARGOS_709	NA		University of Ibadan	Unknown	Nigeria: Ibadan	clinical isolate	Not applicable	FDA:FDAARGOS_709	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN11056426	FDAARGOS_711	GCA_013367835.1	FDAARGOS_711	NA		University of Ibadan	Unknown	Nigeria: Ibadan	clinical isolate	Not applicable	FDA:FDAARGOS_711	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN11056426	FDAARGOS_711	GCA_013367835.1	FDAARGOS_711	NA		University of Ibadan	Unknown	Nigeria: Ibadan	clinical isolate	Not applicable	FDA:FDAARGOS_711	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN11056432	FDAARGOS_717	GCA_013364495.1	FDAARGOS_717	NA		University of Ibadan	Unknown	Nigeria: Ibadan	clinical isolate	Not applicable	FDA:FDAARGOS_717	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN11056432	FDAARGOS_717	GCA_013364495.1	FDAARGOS_717	NA		University of Ibadan	Unknown	Nigeria: Ibadan	clinical isolate	Not applicable	FDA:FDAARGOS_717	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN11056433	FDAARGOS_718	GCA_013364515.1	FDAARGOS_718	NA		University of Ibadan	Unknown	Nigeria: Ibadan	clinical isolate	Not applicable	FDA:FDAARGOS_718	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN11056433	FDAARGOS_718	GCA_013364515.1	FDAARGOS_718	NA		University of Ibadan	Unknown	Nigeria: Ibadan	clinical isolate	Not applicable	FDA:FDAARGOS_718	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN13450409	FDAARGOS_879	GCA_016117835.1	FDAARGOS_879	NA	Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:14846	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN13450409	FDAARGOS_879	GCA_016117835.1	FDAARGOS_879	NA	Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:14846	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN16357413	FDAARGOS_1271	GCA_016889645.1	FDAARGOS_1271	NA	Not applicable	ATCC	Unknown	USA:VA	missing	Not applicable	ATCC:BAA-1735D-5	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN16357413	FDAARGOS_1271	GCA_016889645.1	FDAARGOS_1271	NA	Not applicable	ATCC	Unknown	USA:VA	missing	Not applicable	ATCC:BAA-1735D-5	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN16357413	FDAARGOS_1271	GCA_016889645.1	FDAARGOS_1271	NA	Not applicable	ATCC	Unknown	USA:VA	missing	Not applicable	ATCC:BAA-1735D-5	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN16357413	FDAARGOS_1271	GCA_016889645.1	FDAARGOS_1271	NA	Not applicable	ATCC	Unknown	USA:VA	missing	Not applicable	ATCC:BAA-1735D-5	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Marburg marburgvirus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Marburgvirus	11269	ARGOS_000020	v1.4	PRJNA231221	SAMN16357613	FDAARGOS_1168		FDAARGOS_1168	NA	Marburg virus/IRF0296_MARV_MUSOKE	NIAID IRF	missing	missing	IRF Isolate	not applicable	FDA:FDAARGOS_1168	IRF strain			Marburg Virus Disease						NA
Marburg marburgvirus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Marburgvirus	11269	ARGOS_000020	v1.4	PRJNA231221	SAMN16357614	FDAARGOS_1169		FDAARGOS_1169	NA	Ravn virus/IRF0322_RAVN	NIAID IRF	missing	missing	IRF Isolate	not applicable	FDA:FDAARGOS_1169	IRF strain			Ravn Virus Disease						NA
Marburg marburgvirus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Marburgvirus	11269	ARGOS_000020	v1.4	PRJNA231221	SAMN11077998	FDAARGOS_853		FDAARGOS_853	NA	Marburg marburgvirus/Musoke	BEI Resources/American Type and Culture Collection (ATCC)	missing	USA:MD	BEI Isolate	not applicable	FDA:FDAARGOS_853	BEI strain			Marburg Hemorrhagic Fever					RT-PCR and amplicon sequencing	NA
Marburg marburgvirus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Marburgvirus	11269	ARGOS_000020	v1.4	PRJNA231221	SAMN16357615	FDAARGOS_1170	FA02SRR17261988	FDAARGOS_1170	NA	Marburg virus/IRF0328_MARV_CI67	NIAID IRF	missing	missing	IRF Isolate	not applicable	FDA:FDAARGOS_1170	IRF strain			Marburg Virus Disease						NA
Marburg marburgvirus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Marburgvirus	11269	ARGOS_000020	v1.4	PRJNA231221	SAMN16357611	FDAARGOS_1166		FDAARGOS_1166	NA	Marburg virus/IRF0202_MARV_ANGOLA	NIAID IRF	missing	missing	IRF Isolate	not applicable	FDA:FDAARGOS_1166	IRF strain			Marburg Virus Disease						NA
Middle East respiratory syndrome-related coronavirus	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus	1335626	ARGOS_000020	v1.4	PRJNA231221	SAMN16357608	FDAARGOS_1163		FDAARGOS_1163	NA	Middle East respiratory syndrome-related coronavirus/IRF0038_MERS_EMC	NIAID IRF	missing	missing	IRF Isolate	not applicable	FDA:FDAARGOS_1163	IRF strain			Coronavirus Disease						NA
Middle East respiratory syndrome-related coronavirus	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus	1335626	ARGOS_000020	v1.4	PRJNA231221	SAMN16357607	FDAARGOS_1162		FDAARGOS_1162	NA	Middle East respiratory syndrome-related coronavirus/IRF0021_MERS_JOR	NIAID IRF	missing	missing	IRF Isolate	not applicable	FDA:FDAARGOS_1162	IRF strain			Coronavirus Disease						NA
Middle East respiratory syndrome-related coronavirus	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus	1335626	ARGOS_000020	v1.4	PRJNA231221	SAMN11077948	FDAARGOS_803		FDAARGOS_803	NA	Middle East respiratory syndrome-related coronavirus/VR-3248SD	ATCC	missing	USA:MD	ATCC Isolate	not applicable	FDA:FDAARGOS_803	ATCC strain			Coronavirus Disease					RT-PCR and amplicon sequencing	NA
Middle East respiratory syndrome-related coronavirus	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus	1335626	ARGOS_000020	v1.4	PRJNA231221	SAMN11077994	FDAARGOS_849		FDAARGOS_849	NA	Middle East respiratory syndrome-related coronavirus/EMC/2012	BEI Resources/American Type and Culture Collection (ATCC)	missing	USA:MD	BEI Isolate	not applicable	FDA:FDAARGOS_849	Homo sapiens			Coronavirus Disease (pneumonia)				male	RT-PCR and amplicon sequencing	NA
Severe acute respiratory syndrome coronavirus 2	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	2697049	ARGOS_000020	v1.4	PRJNA231221	SAMN14384141	FDAARGOS_983		FDAARGOS_983	NA	2019-nCoV/USA-WA1/2020	BEI Resources/American Type and Culture Collection (ATCC)	43849	USA	oropharyngeal swab	not applicable	FDA:FDAARGOS_983	Homo sapiens		Isolated from clinical sample from the first case of nCov in US from Washington State	COVID-19						NA
