organism_name	infraspecific_name	lineage	genome_assembly_id	taxonomy_id	sra_run_id	bco_id	schema_version	analysis_platform	analysis_platform_object_id	bioproject	biosample	strain	ngs_read_file_name	ngs_read_file_source	ngs_gc_content	n_content	avg_phred_score	avg_read_length	max_read_length	min_read_length	num_reads_unique	pos_outlier_count	codon_table	percent_coding	percent_not_coding	density_n_per_read	complexity_percent	non_complex_percent	avg_quality_a	avg_quality_t	avg_quality_g	avg_quality_c	count_a	count_t	count_g	count_c	count_n	instrument	id_method	wgs_accession	strategy	ngs_score
Staphylococcus aureus	ermB, spc, rsbU- ; Tn554 is a site-specific, high frequency transposon; NRS140; NCTC8325 (RN1389)	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	NA	1280	SRR1955851	ARGOS_000009	v1.4	ILLUMINA	IL100040299_SN180_20131217_L8_experiment	PRJNA231221	SRS896159	FDAARGOS_33	SRR1955851	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1955851/SRR1955851	32.55	0.018897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.95E+08	3.93E+08	1.90E+08	1.90E+08	220823	ILLUMINA	phenotypic identification	NA	WGS	NA
Sphingobacterium multivorum	DSM 15469	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Sphingobacterium	NA	28454	SRR12938599	ARGOS_000009	v1.4	ILLUMINA	IL100141174_K00134_20190920_L8_experiment	PRJNA231221	SRS7620181	FDAARGOS_1143	SRR12938599	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12938599/SRR12938599	39.53	0.010879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.24E+08	8.23E+08	5.38E+08	5.39E+08	296342	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Acinetobacter ursingii	DSM 30867	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	NA	108980	SRR12935056	ARGOS_000009	v1.4	PACBIO_SMRT	PL100132574-1_RS42150_20190808_B01-1_experiment	PRJNA231221	SRS7616813	FDAARGOS_1096	SRR12935056	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12935056/SRR12935056	40.27	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62338512	78225001	50478075	44295088	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Burkholderia cenocepacia		cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex	NA	95486	SRR9172295	ARGOS_000009	v1.4	PACBIO_SMRT	PL100081676-1_RS42150_20170602_D02-1_experiment	PRJNA231221	SRS4857801	FDAARGOS_720	SRR9172295	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9172295/SRR9172295	64.52	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.77E+08	2.63E+08	4.87E+08	4.95E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Mobiluncus curtisii	DSM 2711	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Mobiluncus	NA	2051	SRR12937899	ARGOS_000009	v1.4	PACBIO_SMRT	PL100132619-2_S54024R1_20191213_A01_experiment	PRJNA231221	SRS7619502	FDAARGOS_1128	SRR12937899	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12937899/SRR12937899	53.92	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.28E+08	3.55E+08	3.93E+08	4.06E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Shigella boydii	DSM 7532	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella	NA	621	SRR12938572	ARGOS_000009	v1.4	ILLUMINA	IL100141170_K00134_20190920_L8_experiment	PRJNA231221	SRS7620159	FDAARGOS_1139	SRR12938572	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12938572/SRR12938572	49.59	0.010824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.33E+08	8.29E+08	8.17E+08	8.18E+08	356912	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Psychrobacter sanguinis	DSM:23636	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Psychrobacter	NA	861445	SRR17118602	ARGOS_000009	v1.4	ILLUMINA	IL100188184_A00904_20210630_L1_experiment	PRJNA231221	SRS11212769	FDAARGOS_1599	SRR17118602	https://storage.googleapis.com/nih-sequence-read-arc/run/SRR17118602/SRR17118602	41.25	0.002177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.04E+09	1.02E+09	7.22E+08	7.23E+08	76272	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Neisseria sicca	clinical isolate	cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	NA	490	SRR4124985	ARGOS_000009	v1.4	ILLUMINA	IL100056679_SN7001163_20150618_L8_experiment	PRJNA231221	SRS1666182	FDAARGOS_260	SRR4124985	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR4124985/SRR4124985	49.32	0.112323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64763344	64350658	62719246	63187177	286769	ILLUMINA	Phenotypic identification	NA	WGS	NA
Zika virus	ZIKV	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	NA	64320	SRR11471929	ARGOS_000009	v1.4	ILLUMINA	IL100121129_M00708_20190401_L1_experiment	PRJNA231221	SRS6419613	FDAARGOS_982	SRR11471929	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11471929/SRR11471929	40.05	0.01019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66226376	58534345	41178834	42193377	21210	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Salmonella enterica	ATCC 700720;LT2	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	NA	28901	SRR2814420	ARGOS_000009	v1.4	ILLUMINA	IL100047829_SN180_20141031_L3_experiment	PRJNA231221	SRS1133148	FDAARGOS_94	SRR2814420	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2814420/SRR2814420	52.49	0.006212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.58E+08	1.55E+08	1.73E+08	1.72E+08	40821	ILLUMINA	culture	NA	WGS	NA
Zika virus	ZIKV	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	NA	64320	SRR10073038	ARGOS_000009	v1.4	ILLUMINA	IL100092370_M00708_20170908_L1_experiment	PRJNA231221	SRS5350762	FDAARGOS_806	SRR10073038	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10073038/SRR10073038	51.18	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72109469	71661254	74844795	75846524	0	ILLUMINA	Phenotypic and Molecular Methods	NA	AMPLICON	NA
Enterococcus faecalis	ATCC 49149, AmMS 161	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	NA	1351	SRR5448771	ARGOS_000009	v1.4	PACBIO_SMRT	PL100061976-1_RS42150_20151002_H01-1_experiment	PRJNA231221	SRS2124867	FDAARGOS_347	SRR5448771	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5448771/SRR5448771	39.16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.33E+09	1.16E+09	8.00E+08	8.08E+08	0	PACBIO_SMRT	Phenotypic characterization	NA	WGS	NA
Corynebacterium jeikeium		cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Corynebacteriales; Corynebacteriaceae; Corynebacterium	NA	38289	SRR8180464	ARGOS_000009	v1.4	ILLUMINA	IL100074258_K00134_20160826_L5_experiment	PRJNA231221	SRS4035291	FDAARGOS_574	SRR8180464	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8180464/SRR8180464	58.26	0.014714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.56E+08	5.53E+08	7.73E+08	7.75E+08	390908	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Corynebacterium propinquum	DSM 44285	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Corynebacteriales; Corynebacteriaceae; Corynebacterium	NA	43769	SRR12936577	ARGOS_000009	v1.4	PACBIO_SMRT	PL100132598-1_RS42150_20190808_G01-1_experiment	PRJNA231221	SRS7617960	FDAARGOS_1112	SRR12936577	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12936577/SRR12936577	52.58	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.39E+08	1.47E+08	1.67E+08	1.50E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Staphylococcus epidermidis	DSM1759	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	NA	1282	SRR13182591	ARGOS_000009	v1.4	ILLUMINA	IL100147062_A00904_20200224_L1_experiment	PRJNA231221	SRS7822558	FDAARGOS_1243	SRR13182591	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13182591/SRR13182591	31.75	0.000822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23E+09	1.22E+09	5.68E+08	5.69E+08	29434	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Bordetella bronchiseptica	ATCC BAA-588D-5; RB50	cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella	NA	518	SRR2823717	ARGOS_000009	v1.4	PACBIO_SMRT	PL100048429-1_RS42150_20141014_B01-1_experiment	PRJNA231221	SRS1135280	FDAARGOS_176	SRR2823717	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2823717/SRR2823717	60.64	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.18E+08	1.99E+08	3.76E+08	4.20E+08	0	PACBIO_SMRT	culture, 16S	NA	WGS	NA
Jonesia denitrificans	DSM 20603	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Micrococcales; Jonesiaceae; Jonesia	NA	43674	SRR15076205	ARGOS_000009	v1.4	ILLUMINA	IL100160364_A00904_20201021_L1_experiment	PRJNA231221	SRS9430899	FDAARGOS 1440	SRR15076205	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR15076205/SRR15076205	58.47	0.000944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.72E+08	5.62E+08	7.99E+08	7.98E+08	25788	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Salmonella enterica subsp. enterica serovar Bredeney	near neighbor isolate	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	NA	134047	SRR5417088	ARGOS_000009	v1.4	ILLUMINA	IL100061012_SN7001163_20150806_L7_experiment	PRJNA231221	SRS2101396	FDAARGOS_314	SRR5417088	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5417088/SRR5417088	50.75	0.029556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.32E+08	2.32E+08	2.39E+08	2.40E+08	278761	ILLUMINA	Phenotypic identification	NA	WGS	NA
Escherichia coli	P120B201 #2	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	NA	562	SRR15076563	ARGOS_000009	v1.4	PACBIO_SMRT	PL100146139-1_S54024R1_20200513_C01_bc1016-bc1016_experiment	PRJNA231221	SRS9431222	FDAARGOS 1375	SRR15076563	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR15076563/SRR15076563	49.98	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.05E+08	6.49E+08	6.20E+08	6.33E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Klebsiella quasipneumoniae	DSM 28211	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella	NA	1463165	SRR16251420	ARGOS_000009	v1.4	PACBIO_SMRT	PL100164171-1_S54024R1_20210519_B01_bc1008-bc1008_experiment	PRJNA231221	SRS10490082	FDAARGOS_1503	SRR16251420	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16251420/SRR16251420	56.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.88E+08	5.20E+08	6.47E+08	6.57E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Escherichia coli	P621F001 #2	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	NA	562	SRR15076577	ARGOS_000009	v1.4	ILLUMINA	IL100153345_A00904_20200228_L2_experiment	PRJNA231221	SRS9431229	FDAARGOS_1381	SRR15076577	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR15076577/SRR15076577	50	0.001667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.00E+08	3.92E+08	3.96E+08	3.96E+08	26424	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Streptococcus pneumoniae	DSM 11865	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	NA	1313	SRR16251434	ARGOS_000009	v1.4	ILLUMINA	IL100165802_A00904_20210209_L2_experiment	PRJNA231221	SRS10490089	FDAARGOS_1508	SRR16251434	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16251434/SRR16251434	39.69	0.001266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.34E+09	1.33E+09	8.79E+08	8.79E+08	56046	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Chryseobacterium gleum	DSM 16776	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Chryseobacterium group; Chryseobacterium	NA	250	SRR12935283	ARGOS_000009	v1.4	PACBIO_SMRT	PL100132581-1_RS42150_20190819_C01-1_experiment	PRJNA231221	SRS7616988	FDAARGOS_1103	SRR12935283	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12935283/SRR12935283	37.46	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.77E+08	3.99E+08	2.47E+08	2.18E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Pseudomonas sp. FDAARGOS_380	clinical isolate	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; unclassified Pseudomonas	NA	2018067	SRR5871784	ARGOS_000009	v1.4	PACBIO_SMRT	PL100062014-1_RS42150_20151102_D01-1_experiment	PRJNA231221	SRS2387741	FDAARGOS_380	SRR5871784	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5871784/SRR5871784	57.96	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.64E+08	8.27E+08	1.22E+09	1.12E+09	0	PACBIO_SMRT	Phenotypic characterization	NA	WGS	NA
Bordetella pertussis	ATCC BAA-1335D-5; MN2531	cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella	NA	520	SRR2824044	ARGOS_000009	v1.4	PACBIO_SMRT	PL100048432-1_RS42150_20141020_C01-1_experiment	PRJNA231221	SRS1135303	FDAARGOS_179	SRR2824044	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2824044/SRR2824044	63.44	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.41E+08	2.50E+08	4.87E+08	5.37E+08	0	PACBIO_SMRT	PCR, DNA Sequencing	NA	WGS	NA
Campylobacter upsaliensis	DSM 5365	cellular organisms; Bacteria; Pseudomonadota; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter	NA	28080	SRR16259726	ARGOS_000009	v1.4	PACBIO_SMRT	PL100169584-1_S54024R1_20210615_A01_bc1017-bc1017_experiment	PRJNA231221	SRS10498362	FDAARGOS_1518	SRR16259726	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16259726/SRR16259726	36.16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.54E+08	5.85E+08	3.22E+08	3.23E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Streptococcus dysgalactiae	DSM 20662	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus dysgalactiae group	NA	1334	SRR12938957	ARGOS_000009	v1.4	ILLUMINA	IL100156414_A00904_20200416_L1_experiment	PRJNA231221	SRS7620316	FDAARGOS_1157	SRR12938957	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12938957/SRR12938957	39.01	0.002088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.74E+08	9.67E+08	6.21E+08	6.21E+08	66447	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Yersinia pestis	Bv Orientalis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	NA	632	SRR8283300	ARGOS_000009	v1.4	PACBIO_SMRT	PL100092825-1_RS42150_20171011_G02-1_experiment	PRJNA231221	SRS4108716	FDAARGOS_604	SRR8283300	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8283300/SRR8283300	46.26	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.03E+08	3.82E+08	3.43E+08	3.32E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Lassa mammarenavirus	LASV	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Arenaviridae; Mammarenavirus	NA	11620	SRR10045993	ARGOS_000009	v1.4	ILLUMINA	IL100097724_M00708_20180129_L1_experiment	PRJNA231221	SRS5327261	FDAARGOS_851	SRR10045993	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10045993/SRR10045993	43.9	0.016305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78286270	73993109	60110970	59085440	44271	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Corynebacterium kroppenstedtii	DSM 44799	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Corynebacteriales; Corynebacteriaceae; Corynebacterium	NA	161879	SRR13181259	ARGOS_000009	v1.4	ILLUMINA	IL100142410_K00134_20191220_L1_experiment	PRJNA231221	SRS7821519	FDAARGOS_1193	SRR13181259	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13181259/SRR13181259	55.87	0.012558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.94E+08	5.91E+08	7.50E+08	7.50E+08	337203	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
