organism_name	infraspecific_name	assembled_genome_acc	genome_assembly_id	representative_genome_acc	representative_genome_org	representative_genome_uniprot_acc	lineage	taxonomy_id	bco_id	schema_version	analysis_platform	analysis_platform_object_id	assembly_file_source	genomic_section	num_chromosomes	num_genes	assembly_gc_content	length	size_gaps	size_contigs	contig_percentile	contig_momentum	coverage_contigs	cnt_contigs	coverage_gaps	cnt_gaps	gap_percentile	genome_coverage	n50	n75	n90	n95	l50	l75	l90	l95	phred_average	count_major_mutations	count_major_indels	mutation_momentum	indels_momentum	major_mutation_momentum	major_indels_momentum	alignment_anisotropy	overhang_momentum	aligned_momentum	entropic_momentum	reads_unaligned	percent_reads_unaligned	percent_reads_aligned	reads_aligned	assembly_level	rpkm
Agrobacterium pusense		NZ_JABRWM010000008	GCF_013267155.1	GCF_000499645.1	Agrobacterium pusense	UP000016944	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium	648995	ARGOS_000089	v1.6	HIVE	280363	NCBI	contig	1	6,090	29.89%	1900	0	1900	100.00%	1020.0779	1020	1	0	0	0.00%	1020	1900	1900	1900	1900	1	1	1	1	37.106316	0	0	0.014029	0	0	0	37.628947	0.000198	0.983262	0.968789	4067137	18.15%	0.17%	38860	Chromosome	1115.16392
Agrobacterium pusense		NZ_JABRWM010000007	GCF_013267155.1	GCF_000499645.1	Agrobacterium pusense	UP000016944	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium	648995	ARGOS_000089	v1.6	HIVE	280363	NCBI	plasmid unnamed6	1	6,090	31.02%	2179	0	2179	100.00%	998.681046	998	1	0	0	0.00%	998	2179	2179	2179	2179	1	1	1	1	37.180817	4	0	0.008587	0	0.516142	0	37.226251	0.000162	0.986083	0.970592	4067137	18.15%	0.19%	42308	Chromosome	1058.6558
Agrobacterium pusense		NZ_JABRWM010000005	GCF_013267155.1	GCF_000499645.1	Agrobacterium pusense	UP000016944	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium	648995	ARGOS_000089	v1.6	HIVE	280363	NCBI	plasmid unnamed5	1	6,090	58.76%	419173	0	419173	100.00%	355.679724	355	1	0	0	0.00%	355	419173	419173	419173	419173	1	1	1	1	31.621529	0	0	0.007183	6.18E-04	0	0	36.295188	22.430373	0.799186	0.916422	4067137	18.15%	5.45%	1221625	Chromosome	158.903743
Agrobacterium pusense		NZ_JABRWM010000004	GCF_013267155.1	GCF_000499645.1	Agrobacterium pusense	UP000016944	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium	648995	ARGOS_000089	v1.6	HIVE	280363	NCBI	plasmid unnamed4	1	6,090	61.44%	40986	0	40986	100.00%	432.26087	432	1	0	0	0.00%	432	40986	40986	40986	40986	1	1	1	1	34.970087	0	0	0.005823	2.70E-05	0	0	36.361489	1.280725	0.759318	0.917097	4067137	18.15%	1.02%	228325	Chromosome	303.743817
Agrobacterium pusense		NZ_JABRWM010000003	GCF_013267155.1	GCF_000499645.1	Agrobacterium pusense	UP000016944	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium	648995	ARGOS_000089	v1.6	HIVE	280363	NCBI	plasmid unnamed3	1	6,090	55.12%	73702	0	73702	100.00%	495.031912	495	1	0	0	0.00%	495	73702	73702	73702	73702	1	1	1	1	35.555792	0	0	0.005002	4.40E-05	0	0	36.308567	2.146765	0.760071	0.934472	4067137	18.15%	2.06%	460677	Chromosome	340.805639
Agrobacterium pusense		NZ_JABRWM010000002	GCF_013267155.1	GCF_000499645.1	Agrobacterium pusense	UP000016944	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium	648995	ARGOS_000089	v1.6	HIVE	280363	NCBI	plasmid unnamed2	1	6,090	57.86%	342373	0	342373	100.00%	371.357873	371	1	0	0	0.00%	371	342373	342373	342373	342373	1	1	1	1	31.883203	0	1	0.006837	4.86E-04	0	0.05232	36.34003	17.251608	0.798557	0.927046	4067137	18.15%	4.75%	1065431	Chromosome	169.674015
Agrobacterium pusense		NZ_JABRWM010000001	GCF_013267155.1	GCF_000499645.1	Agrobacterium pusense	UP000016944	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium	648995	ARGOS_000089	v1.6	HIVE	280363	NCBI	plasmid unnamed1	1	6,090	59.84%	154534	0	154534	100.00%	364.0311	364	1	0	0	0.00%	364	154534	154534	154534	154534	1	1	1	1	32.737818	0	0	0.006493	0.000191	0	0	36.324466	7.266989	0.77777	0.928627	4067137	18.15%	2.30%	516218	Chromosome	182.137182
Agrobacterium pusense		NZ_JABRWM010000006	GCF_013267155.1	GCF_000499645.1	Agrobacterium pusense	UP000016944	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium	648995	ARGOS_000089	v1.6	HIVE	280363	NCBI	chromosome	1	6,090	59.23%	5283710	0	5283710	100.00%	307.370	307.000	1.000	0.000	0.000	0.00%	307.000	5283710	5283710	5283710	5283710	1	1	1	1	34.812233	15	9	0.004652	0.004032	0.545793	0.72798	36.299045	131.937342	0.827267	0.929117	4067137	18.15%	65.90%	14767027	Chromosome	152.385488
Bacillus anthracis		NZ_CP022045	GCF_002208785.1	GCF_000007825.1	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)	UP000001417	Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	1392	ARGOS_000089	v1.6	HIVE	280451	NCBI	plasmid unnamed1	1	5,661	32.53%	181634	0	181634	100.00%	668.051	668.000	1.000	0.000	0.000	0.00%	668.000	181634	181634	181634	181634	1	1	1	1	30.238942	0	0	0.011623	0.000384	0	0	36.391182	11.786389	0.771198	0.920586	602919	4.74%	7.13%	907526	Complete Genome	412.133643
Bacillus anthracis		NZ_CP022044	GCF_002208785.1	GCF_000007825.1	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)	UP000001417	Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	1392	ARGOS_000089	v1.6	HIVE	280451	NCBI	chromosome	1	5,661	35.38%	5228806	0	5228806	100.00%	274.200	274.000	1.000	0.000	0.000	0.00%	274.000	5228806	5228806	5228806	5228806	1	1	1	1	34.680737	0	2	0.006932	4.81E-03	0	0.599588	36.318909	138.246223	0.814927	0.92926	602919	4.74%	88.13%	11215858	Complete Genome	176.931888
Bacteroides fragilis		NZ_CP054004	GCF_013267555.1	GCF_000025985.1	Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / LMG 10263 / NCTC 9343 / Onslow / VPI 2553 / EN-2)	UP000006731	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000089	v1.6	HIVE	280529	NCBI	plasmid unnamed3	1	4,812	41.50%	2783	0	2783	100.00%	3453.080	3453.000	1.000	0.000	0.000	0.00%	3453.000	2783	2783	2783	2783	1	1	1	1	32.314768	0	0	0.017084	0	0	0	36.729429	0.001191	0.972512	0.945864	1426934	8.49%	0.88%	148607	Complete Genome	3472.23913
Bacteroides fragilis		NZ_CP054002	GCF_013267555.1	GCF_000025985.1	Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / LMG 10263 / NCTC 9343 / Onslow / VPI 2553 / EN-2)	UP000006731	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000089	v1.6	HIVE	280529	NCBI	plasmid unnamed2	1	4,812	36.39%	91764	0	91764	100.00%	136.078	136.000	1.000	0.000	0.000	0.00%	136.000	91764	91764	91764	91764	1	1	1	1	29.709352	0	70	0.013004	0.00016	0	0.437504	37.230384	8.428633	0.756105	0.881192	1426934	8.49%	0.48%	81241	Complete Genome	57.568709
Bacteroides fragilis		NZ_CP054001	GCF_013267555.1	GCF_000025985.1	Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / LMG 10263 / NCTC 9343 / Onslow / VPI 2553 / EN-2)	UP000006731	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000089	v1.6	HIVE	280529	NCBI	plasmid unnamed1	1	4,812	33.29%	51017	0	51017	100.00%	523.223	523.000	1.000	0.000	0.000	0.00%	523.000	51017	51017	51017	51017	1	1	1	1	30.653155	15	0	0.012045	0.000072	0.761548	0	36.356842	4.035782	0.741802	0.879564	1426934	8.49%	1.17%	196243	Complete Genome	250.128296
Bacteroides fragilis		NZ_CP054003	GCF_013267555.1	GCF_000025985.1	Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / LMG 10263 / NCTC 9343 / Onslow / VPI 2553 / EN-2)	UP000006731	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000089	v1.6	HIVE	280529	NCBI	chromosome	1	4,812	43.80%	5460140	0	5460140	100.00%	390.151	390.000	1.000	0.000	0.000	0.00%	390.000	5460140	5460140	5460140	5460140	1	1	1	1	32.004091	18	53	0.010505	0.004646	0.880428	0.484359	36.329205	170.675407	0.831954	0.936375	1426934	8.49%	88.97%	14952496	Complete Genome	178.071117
Bacteroides nordii		NZ_CP082886	GCF_019930665.1	GCF_000273175.1	Bacteroides nordii CL02T12C05	UP000003089	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	291645	ARGOS_000089	v1.6	HIVE	280563	NCBI	chromosome	1	4,359	40.65%	5678582	0	5678582	100.00%	494.315	494.000	1.000	0.000	0.000	0.00%	494.000	5678582	5678582	5678582	5678582	1	1	1	1	27.557824	0	0	0.00926	0.008362	0	0	36.314492	335.979036	0.760198	0.927775	295115	1.30%	98.70%	22411875	Complete Genome	176.100301
Bacteroides ovatus		NZ_CP046397	GCF_009734165.1	GCF_000273215.1	Bacteroides ovatus CL03T12C18	UP000005506	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	28116	ARGOS_000089	v1.6	HIVE	280570	NCBI	chromosome	1	5,062	41.98%	6571392	0	6571392	100.00%	327.527	327.000	1.000	0.000	0.000	0.00%	327.000	6571392	6571392	6571392	6571392	1	1	1	1	33.17875	34	21	0.007898	0.005758	0.886382	1.010623	36.31812	189.316632	0.804281	0.937443	934590	5.78%	94.22%	15230593	Complete Genome	152.17476
Bacteroides thetaiotaomicron		NZ_CP065873	GCF_016117715.1	GCF_000011065.1	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	UP000001414	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	818	ARGOS_000089	v1.6	HIVE	280577	NCBI	plasmid unnamed	1	4,775	41.64%	2752	0	2752	100.00%	4930.074	4930.000	1.000	0.000	0.000	0.00%	4930.000	2752	2752	2752	2752	1	1	1	1	32.101381	0	0	0.019807	0	0	0	36.905887	0.000941	0.973642	0.944927	952930	5.43%	2.09%	366522	Chromosome	8030.67573
Bacteroides thetaiotaomicron		NZ_CP065872	GCF_016117715.1	GCF_000011065.1	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	UP000001414	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	818	ARGOS_000089	v1.6	HIVE	280577	NCBI	chromosome	1	4,775	42.90%	6216145	0	6216145	100.00%	298.544	298.000	1.000	0.000	0.000	0.00%	298.000	6216145	6216145	6216145	6216145	1	1	1	1	35.042107	92	244	0.006732	0.002568	0.93974	0.987771	36.321113	134.698188	0.810577	0.933262	952930	5.43%	92.48%	16217869	Chromosome	157.316083
Bacteroides uniformis		NZ_CP065889	GCF_016117815.1	GCF_000403175.1	Bacteroides uniformis dnLKV2	UP000014212	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	820	ARGOS_000089	v1.6	HIVE	280611	NCBI	chromosome	1	3,851	46.48%	4728573	78	4728495	100.00%	418.378	418.000	1.000	0.000	1.000	0.00%	418.000	4728495	4728495	4728495	4728495	1	1	1	1	32.628014	8	15	0.010965	0.004078	0.894175	0.617542	36.336716	256.592411	0.737295	0.936863	680284	4.27%	95.73%	15244214	Chromosome	211.480292
Bifidobacterium breve		NZ_CP033841	GCF_003813065.1	GCF_000158015.1	Bifidobacterium breve DSM 20213 = JCM 1192	UP000003191	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium	1685	ARGOS_000089	v1.6	HIVE	280783	NCBI	chromosome	1	2,019	58.89%	2275646	0	2275646	100.00%	842.423	842.000	1.000	0.000	0.000	0.00%	842.000	2275646	2275646	2275646	2275646	1	1	1	1	35.049656	0	2	0.006268	0.003522	0	0.714916	36.334896	201.566828	0.709758	0.931588	631240	3.49%	96.51%	17471630	Complete Genome	439.435659
Clostridium perfringens		NZ_CP065680	GCF_016027375.1	GCF_000009685.1	Clostridium perfringens (strain 13 / Type A)	UP000000818	Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000089	v1.6	HIVE	283800	NCBI	plasmid unnamed	1	3,062	25.49%	54311	0	54311	100.00%	341.806	341.000	1.000	0.000	0.000	0.00%	341.000	54311	54311	54311	54311	1	1	1	1	32.921692	0	0	0.010633	0.000084	0	0	36.351052	3.459962	0.750675	0.931912	722236	4.85%	0.93%	139000	Complete Genome	180.611709
Clostridium perfringens		NZ_CP065681	GCF_016027375.1	GCF_000009685.1	Clostridium perfringens (strain 13 / Type A)	UP000000818	Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000089	v1.6	HIVE	283800	NCBI	chromosome	1	3,062	28.38%	3300922	0	3300922	100.00%	472.900	472.000	1.000	0.000	0.000	0.00%	472.000	3300922	3300922	3300922	3300922	1	1	1	1	34.612305	1	24	0.008142	2.26E-03	0.8646	0.678825	36.329121	90.344575	0.802839	0.948603	722236	4.85%	94.22%	14031367	Complete Genome	299.974006
Clostridium perfringens		NZ_CP065874	GCF_016117735.1	GCF_000009685.1	Clostridium perfringens (strain 13 / Type A)	UP000000818	Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000089	v1.6	HIVE	283353	NCBI	chromosome	1	2,903	28.52%	3178691	1939	3176752	99.94%	439.267	439.000	10.000	0.000	5.000	0.06%	439.000	3174393	3174393	3174393	3174393	1	1	1	1	34.099229	47	182	0.009567	0.002752	0.870502	0.826847	36.3602	102.299985	0.857944	0.940453	1086022	7.55%	92.45%	13306168	Chromosome	314.594907
Corynebacterium amycolatum		NZ_CP065628	GCF_016026415.1	GCF_000755185.1	Corynebacterium sp ATCC 6931.	UP000029247	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium	43765	ARGOS_000089	v1.6	HIVE	283376	NCBI	chromosome	1	2,494	58.63%	2802624	0	2802624	100.00%	423.548	423.000	1.000	0.000	0.000	0.00%	423.000	2802624	2802624	2802624	2802624	1	1	1	1	34.414409	1	12	0.007918	0.003963	0.9642	0.578646	36.348318	178.398217	0.818084	0.925373	769196	6.34%	93.66%	11358226	Complete Genome	356.808477
Clostridium perfringens		NZ_CP065679	GCF_016027155.1	GCF_000009685.1	Clostridium perfringens (strain 13 / Type A)	UP000000818	Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000089	v1.6	HIVE	283359	NCBI	plasmid unnamed2	1	3,098	25.31%	9868	0	9868	100.00%	1096.087	1096.000	1.000	0.000	0.000	0.00%	1096.000	9868	9868	9868	9868	1	1	1	1	33.997163	1	0	0.013383	1.00E-06	0.823	0	36.334414	0.043778	0.90542	0.863349	703018	5.22%	0.99%	134075	Complete Genome	1063.80402
Clostridium perfringens		NZ_CP065678	GCF_016027155.1	GCF_000009685.1	Clostridium perfringens (strain 13 / Type A)	UP000000818	Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000089	v1.6	HIVE	283359	NCBI	plasmid unnamed1	1	3,098	25.49%	54310	0	54310	100.00%	243.864	243.000	1.000	0.000	0.000	0.00%	243.000	54310	54310	54310	54310	1	1	1	1	32.85905	0	0	0.010324	0.000078	0	0	36.35104	4.696645	0.730129	0.921913	703018	5.22%	0.70%	94560	Complete Genome	136.323467
Clostridium perfringens		NZ_CP065677	GCF_016027155.1	GCF_000009685.1	Clostridium perfringens (strain 13 / Type A)	UP000000818	Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000089	v1.6	HIVE	283359	NCBI	chromosome	1	3,098	28.36%	3296682	0	3296682	100.00%	437.376	437.000	1.000	0.000	0.000	0.00%	437.000	3296682	3296682	3296682	3296682	1	1	1	1	33.959602	4	4	0.008679	2.79E-03	0.56075	0.693976	36.330799	129.846173	0.808011	0.93949	703018	5.22%	93.09%	12543310	Complete Genome	297.905183
Corynebacterium amycolatum		NZ_CP068169	GCF_016728745.1	GCF_000755185.1	Corynebacterium sp ATCC 6931.	UP000029247	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium	43765	ARGOS_000089	v1.6	HIVE	283516	NCBI	chromosome	1	2,380	58.74%	2706528	0	2706528	100.00%	590.924	590.000	1.000	0.000	0.000	0.00%	590.000	2706528	2706528	2706528	2706528	1	1	1	1	33.781975	0	8	0.009433	5.42E-03	0	0.596469	36.350398	162.263942	0.851597	0.924426	578399	3.23%	96.77%	17324752	Complete Genome	369.477057
Corynebacterium amycolatum		NZ_CP068168	GCF_016728725.1	GCF_000755185.1	Corynebacterium sp ATCC 6931.	UP000029247	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium	43765	ARGOS_000089	v1.6	HIVE	283479	NCBI	chromosome	1	2,190	58.62%	2476115	0	2476115	100.00%	361.755	361.000	1.000	0.000	0.000	0.00%	361.000	2476115	2476115	2476115	2476115	1	1	1	1	29.273336	756	49	0.013646	0.013206	0.568476	0.660553	36.386589	764.497654	0.764655	0.923311	17116846	77.45%	22.55%	4983215	Complete Genome	403.858464
Corynebacterium amycolatum		NZ_CP069513	GCF_016889425.1	GCF_000755185.1	Corynebacterium sp ATCC 6931.	UP000029247	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium	43765	ARGOS_000089	v1.6	HIVE	283562	NCBI	chromosome	1	2,175	58.64%	2474943	0	2474943	100.00%	1145.205	1145.000	1.000	0.000	0.000	0.00%	1145.000	2474943	2474943	2474943	2474943	1	1	1	1	22.445419	0	0	0.018191	0.013826	0	0	36.333394	314.61069	0.779064	0.895528	826838	4.40%	95.60%	17981909	Complete Genome	404.049709
